 	Image A	Image B	ROI	Auto Threshold A	Auto Threshold B	Using Stack Histogram	Pearson's Coefficient	M1	M2	Threshold A	Threshold B	Thresholded M1	Thresholded M2	Random Pearson Costes 2D	Random Pearson Costes 2D pValueCorrelated	Random Pearson Costes 2D pValueAntiCorrelated	Area tot	Area A	Area B	Area Overlap	Timepoint
403	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(6).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(6).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.259	0.604	0.979	555	2279	0.376	0.325	27.146	1	0	195.469	31.217	35.31	10.894	1
404	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_0(11).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_0(11).tif T1	nucleus	Otsu	Otsu	TRUE	0.077	0.573	0.974	2155	5489	0.048	0.154	10.878	1	1.06E-53	217.421	19.814	6.274	0.973	1
405	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_0(11).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_0(11).tif T1	combine	Otsu	Otsu	TRUE	0.038	1	0.986	2354	13090	0.258	0.131	0.8	0.871	0.129	6.081	0.8	1.507	0.187	1
406	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_0(11).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_0(11).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.071	0.556	0.966	2155	1496	0.139	0.131	9.024	1	1.34E-37	211.34	18.868	20.93	2.604	1
407	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_1(11).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_1(11).tif T1	nucleus	Otsu	Otsu	TRUE	0.095	0.535	0.96	1994	5223	0.087	0.171	11.857	1	2.08E-63	200.592	15.693	8.471	1.431	1
408	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_1(11).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_1(11).tif T1	combine	Otsu	Otsu	TRUE	0.027	1	0.971	2002	12229	0.211	0.16	0.362	0.696	0.304	8.359	1.417	2.071	0.334	1
409	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_1(11).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_1(11).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.057	0.503	0.949	1994	1475	0.138	0.098	6.722	1	9.91E-22	192.233	14.27	20.426	1.967	1
410	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(10).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(10).tif T1	nucleus	Otsu	Otsu	TRUE	0.144	0.585	0.95	1582	4610	0.142	0.181	20.79	1	2.68E-190	250.35	20.041	15.988	2.759	1
411	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(10).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(10).tif T1	combine	Otsu	Otsu	TRUE	0.062	1	0.962	1954	11013	0.276	0.157	2.121	0.999	0.001	15.822	1.947	3.281	0.523	1
412	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(10).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(10).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.119	0.538	0.937	1582	1368	0.246	0.134	15.521	1	4.38E-107	234.528	17.297	32.163	4.126	1
413	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(12).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(12).tif T1	nucleus	Otsu	Otsu	TRUE	0.095	0.598	0.913	1155	2913	0.104	0.181	12.548	1	9.35E-71	267.219	29.464	17.43	3.123	1
414	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(12).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(12).tif T1	combine	Otsu	Otsu	TRUE	0.034	1	0.928	1258	6742	0.248	0.161	0.794	0.869	0.131	17.325	2.78	4.075	0.659	1
415	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(12).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(12).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.083	0.557	0.895	1155	892	0.181	0.159	11.338	1	3.67E-58	249.893	26.349	31.174	4.819	1
416	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_1(11).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_1(11).tif T1	nucleus	Otsu	Otsu	TRUE	0.065	0.695	0.945	1397	3605	0.116	0.177	9.387	1	1.60E-40	237.701	32.351	22.506	3.97	1
