Slice,Count,Total Area,Average Size,%Area,Mean,IntDen,tto,data
dapi-pfak-gamma-5_Out-1.czinucleo_0,4,1.278,0.319,0.441,255,81.447,ct,2020_06_23
dapi-pfak-gamma-6_Out-1.czinucleo_0,5,1.644,0.329,0.63,255,83.82,ct,2020_06_23
dapi-pfak-gamma-7_Out-1.czinucleo_0,13,3.159,0.243,1.153,255,61.969,ct,2020_06_23
dapi-pfak-gamma-7_Out-1.czinucleo_1,3,0.472,0.157,0.201,255,40.116,ct,2020_06_23
dapi-pfak-gamma-8_Out-1.czinucleo_0,7,2.854,0.408,1.224,255,103.951,ct,2020_06_23
dapi-pfak-gamma-8_Out-1.czinucleo_1,4,0.872,0.218,0.223,255,55.602,ct,2020_06_23
dapi-pfak-gamma-9_Out-1.czinucleo_0,10,2.37,0.237,0.85,255,60.439,ct,2020_06_23
dapi-pfak-gamma-10_Out-1.czinucleo_0,74,24.756,0.335,5.291,255,85.307,dox,2020_06_23
dapi-pfak-gamma-11_Out-1.czinucleo_0,86,28.547,0.332,6.544,255,84.645,dox,2020_06_23
dapi-pfak-gamma-12_Out-1.czinucleo_0,46,13.193,0.287,4.712,255,73.135,dox,2020_06_23
dapi-pfak-gamma-12_Out-1.czinucleo_1,29,7.119,0.245,2.297,255,62.597,dox,2020_06_23
dapi-pfak-gamma-13_Out-1.czinucleo_0,53,18.54,0.35,7.66,255,89.204,dox,2020_06_23
dapi-pfak-gamma-13_Out-1.czinucleo_1,38,11.232,0.296,3.528,255,75.375,dox,2020_06_23
dapi-pfak-gamma-14_Out-1.czinucleo_0,127,45.102,0.355,7.447,255,90.559,dox,2020_06_23
dapi-pfak-gamma-15_Out-1.czinucleo_0,67,23.088,0.345,5.526,255,87.874,dox,2020_06_23
dapi-pfak-gamma-16_Out-1.czinucleo_0,51,17.254,0.338,5.16,255,86.272,dox,2020_06_23
dapi-pfak-gamma-16_Out-1.czinucleo_1,70,24.862,0.355,6.085,255,90.568,dox,2020_06_23
dapi-pfak-gamma-17_Out-1.czinucleo_0,93,36.001,0.387,8.649,255,98.712,dox,2020_06_23
dapi-pfak-gamma-18_Out-1.czinucleo_0,94,37.54,0.399,7.184,255,101.838,dox,2020_06_23
dapi-pfak-gamma-19_Out-1.czinucleo_0,56,15.693,0.28,4.246,255,71.459,dox,2020_06_23
dapi-pfak-gamma-1_Out-1.czinucleo_0,62,44.974,0.725,10.893,255,184.974,dox,2020_06_23
dapi-pfak-gamma-20_Out-1.czinucleo_0,105,48.384,0.461,8.189,255,117.504,dox,2020_06_23
dapi-pfak-gamma-2_Out-1.czinucleo_0,61,23.507,0.385,6.683,255,98.268,dox,2020_06_23
dapi-pfak-gamma-3_Out-1.czinucleo_0,98,47.248,0.482,9.382,255,122.94,dox,2020_06_23
dapi-pfak-gamma-4_Out-1.czinucleo_0,82,41.257,0.503,7.861,255,128.298,dox,2020_06_23
dapi-pfak-gamma-5_Out-1.czinucleo_0,88,34.619,0.393,6.963,255,100.317,dox,2020_06_23
dapi-pfak-gamma-6_Out-1.czinucleo_0,48,15.454,0.322,4.278,255,82.099,dox,2020_06_23
dapi-pfak-gamma-7_Out-1.czinucleo_0,44,11.494,0.261,3.419,255,66.615,dox,2020_06_23
dapi-pfak-gamma-8_Out-1.czinucleo_0,40,16.229,0.406,5.887,255,103.463,dox,2020_06_23
dapi-pfak-gamma-9_Out-1.czinucleo_0,52,15.006,0.289,3.346,255,73.587,dox,2020_06_23
dapi-pfak-gamma-9_Out-1.czinucleo_1,26,6.522,0.251,1.925,255,63.967,dox,2020_06_23
ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0,6,1.534,0.256,0.795,255,65.211,ct_dmso,2022_05_19
ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_1(6).tifnucleo_0,8,3.736,0.467,1.101,255,119.09,ct_dmso,2022_05_19
ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_0(10).tifnucleo_0,16,3.737,0.234,1.431,255,59.561,ct_dmso,2022_05_19
ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_0(11).tifnucleo_0,1,1.116,1.116,0.441,255,284.702,ct_dmso,2022_05_19
ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_1(10).tifnucleo_0,1,0.168,0.168,0.045,255,42.944,ct_dmso,2022_05_19
ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-04_Out_Channel Alignment.czi_nucleo_0(12).tifnucleo_0,10,3.232,0.323,1.543,255,82.415,ct_dmso,2022_05_19
ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-04_Out_Channel Alignment.czi_nucleo_1(13).tifnucleo_0,8,2.105,0.263,1.056,255,67.1,ct_dmso,2022_05_19
ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_0(12).tifnucleo_0,4,4,1,1.358,255,255.012,ct_dmso,2022_05_19
ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_1(11).tifnucleo_0,11,4.031,0.366,1.32,255,93.455,ct_dmso,2022_05_19
ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(12).tifnucleo_0,14,3.575,0.255,0.977,255,65.116,ct_dmso,2022_05_19
ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_0(10).tifnucleo_0,1,1.602,1.602,0.689,255,408.497,ct_dmso,2022_05_19
ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_1(8).tifnucleo_0,1,1.299,1.299,0.52,255,331.357,ct_dmso,2022_05_19
ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(8).tifnucleo_0,3,2.052,0.684,0.867,255,174.426,ct_dmso,2022_05_19
ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_3(8).tifnucleo_0,4,2.253,0.563,0.922,255,143.61,ct_dmso,2022_05_19
ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13).tifnucleo_0,4,2.193,0.548,0.838,255,139.833,ct_dmso,2022_05_19
ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_1(12).tifnucleo_0,3,1.522,0.507,0.589,255,129.362,ct_dmso,2022_05_19
ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-09_Out_Channel Alignment.czi_nucleo_0(15).tifnucleo_0,2,2.565,1.282,0.77,255,326.983,ct_dmso,2022_05_19
ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-09_Out_Channel Alignment.czi_nucleo_1(13).tifnucleo_0,2,2.207,1.103,0.728,255,281.388,ct_dmso,2022_05_19
ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-09_Out_Channel Alignment.czi_nucleo_2(15).tifnucleo_0,29,8.112,0.28,2.362,255,71.326,ct_dmso,2022_05_19
ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment.czi_nucleo_0(14).tifnucleo_0,11,3.528,0.321,1.223,255,81.791,ct_dmso,2022_05_19
ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment.czi_nucleo_1(16).tifnucleo_0,6,1.94,0.323,0.867,255,82.442,ct_dmso,2022_05_19
ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_0(10).tifnucleo_0,1,1.118,1.118,0.443,255,284.967,ct_dmso,2022_05_19
ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_1(11).tifnucleo_0,8,2.963,0.37,1.072,255,94.437,ct_dmso,2022_05_19
ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-12_Out_Channel Alignment.czi_nucleo_0(10).tifnucleo_0,4,1.405,0.351,0.684,255,89.599,ct_dmso,2022_05_19
ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-12_Out_Channel Alignment.czi_nucleo_1(11).tifnucleo_0,6,2.424,0.404,1.275,255,103.03,ct_dmso,2022_05_19
ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-12_Out_Channel Alignment.czi_nucleo_2(12).tifnucleo_0,7,2.252,0.322,1.225,255,82.025,ct_dmso,2022_05_19
dox-DMSO-h2ax-647-ku80-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_0(12).tifnucleo_0,41,11.328,0.276,2.138,255,70.455,dox_dmso,2022_05_19
dox-DMSO-h2ax-647-ku80-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_1(14).tifnucleo_0,45,12.878,0.286,3.736,255,72.975,dox_dmso,2022_05_19
dox-DMSO-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_0(12).tifnucleo_0,16,5.558,0.347,1.621,255,88.588,dox_dmso,2022_05_19
dox-DMSO-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_1(15).tifnucleo_0,70,33.022,0.472,8.232,255,120.296,dox_dmso,2022_05_19
dox-DMSO-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_2(15).tifnucleo_0,28,13.267,0.474,5.076,255,120.822,dox_dmso,2022_05_19
dox-DMSO-h2ax-647-ku80-564-fak-488-dapi-04_Out_Channel Alignment.czi_nucleo_0(12).tifnucleo_0,8,2.588,0.324,0.873,255,82.508,dox_dmso,2022_05_19
dox-DMSO-h2ax-647-ku80-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_0(11).tifnucleo_0,15,3.661,0.244,0.914,255,62.242,dox_dmso,2022_05_19
dox-DMSO-h2ax-647-ku80-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(11).tifnucleo_0,38,13.854,0.365,6.619,255,92.968,dox_dmso,2022_05_19
dox-DMSO-h2ax-647-ku80-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(10).tifnucleo_0,32,9.744,0.304,2.423,255,77.645,dox_dmso,2022_05_19
dox-DMSO-h2ax-647-ku80-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_1(13).tifnucleo_0,1,0.169,0.169,0.049,255,43.209,dox_dmso,2022_05_19
dox-DMSO-h2ax-647-ku80-564-fak-488-dapi-09_Out_Channel Alignment.czi_nucleo_0(14).tifnucleo_0,74,27.658,0.374,6.673,255,95.309,dox_dmso,2022_05_19
dox-DMSO-h2ax-647-ku80-564-fak-488-dapi-09_Out_Channel Alignment.czi_nucleo_1(10).tifnucleo_0,51,22.288,0.437,6.58,255,111.44,dox_dmso,2022_05_19
dox-DMSO-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment.czi_nucleo_0(11).tifnucleo_0,57,21.455,0.376,6.861,255,95.984,dox_dmso,2022_05_19
dox-DMSO-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment.czi_nucleo_2(11).tifnucleo_0,46,16.053,0.349,5.483,255,88.988,dox_dmso,2022_05_19
dox-DMSO-h2ax-647-ku80-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_0(12).tifnucleo_0,27,10.171,0.377,4.455,255,96.059,dox_dmso,2022_05_19
dox-DMSO-h2ax-647-ku80-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_1(10).tifnucleo_0,21,7.362,0.351,2.354,255,89.397,dox_dmso,2022_05_19
dox-DMSO-h2ax-647-ku80-564-fak-488-dapi-12_Out_Channel Alignment.czi_nucleo_0(10).tifnucleo_0,45,17.156,0.381,5.42,255,97.216,dox_dmso,2022_05_19
dox-DMSO-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment.czi_nucleo_0(14).tifnucleo_0,53,19.545,0.369,6.344,255,94.035,dox_dmso,2022_05_19
dox-DMSO-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment.czi_nucleo_1(11).tifnucleo_0,94,47.286,0.503,11.517,255,128.276,dox_dmso,2022_05_19
dox-PF-h2ax-647-ku80-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_0(10).tifnucleo_0,89,34.536,0.388,8.225,255,98.951,dox_pf,2022_05_19
dox-PF-h2ax-647-ku80-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_0(11).tifnucleo_0,50,17.192,0.344,5.977,255,87.68,dox_pf,2022_05_19
dox-PF-h2ax-647-ku80-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_1(12).tifnucleo_0,54,22.369,0.414,7.66,255,105.632,dox_pf,2022_05_19
dox-PF-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_0(11).tifnucleo_0,55,24.48,0.445,5.983,255,113.5,dox_pf,2022_05_19
dox-PF-h2ax-647-ku80-564-fak-488-dapi-04_Out_Channel Alignment.czi_nucleo_0(10).tifnucleo_0,50,14.504,0.29,6.005,255,73.969,dox_pf,2022_05_19
dox-PF-h2ax-647-ku80-564-fak-488-dapi-04_Out_Channel Alignment.czi_nucleo_1(10).tifnucleo_0,45,14.988,0.333,6.046,255,84.933,dox_pf,2022_05_19
dox-PF-h2ax-647-ku80-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_0(8).tifnucleo_0,65,19.547,0.301,5.196,255,76.683,dox_pf,2022_05_19
dox-PF-h2ax-647-ku80-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(8).tifnucleo_0,34,12.593,0.37,4.216,255,94.448,dox_pf,2022_05_19
dox-PF-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_0(11).tifnucleo_0,79,40.544,0.513,11.104,255,130.868,dox_pf,2022_05_19
dox-PF-h2ax-647-ku80-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(12).tifnucleo_0,36,16.101,0.447,6.56,255,114.046,dox_pf,2022_05_19
dox-PF-h2ax-647-ku80-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_1(11).tifnucleo_0,37,12.254,0.331,4.67,255,84.455,dox_pf,2022_05_19
dox-PF-h2ax-647-ku80-564-fak-488-dapi-09_Out_Channel Alignment.czi_nucleo_0(11).tifnucleo_0,17,5.621,0.331,2.423,255,84.313,dox_pf,2022_05_19
dox-PF-h2ax-647-ku80-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_0(9).tifnucleo_0,57,19.447,0.341,7.616,255,86.999,dox_pf,2022_05_19
CT-scramble-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment.czi_nucleo_0(13).tifnucleo_0,5,1.367,0.273,0.71,255,69.717,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment.czi_nucleo_1(14).tifnucleo_0,3,1.267,0.422,0.927,255,107.713,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment.czi_nucleo_2(13).tifnucleo_0,3,0.664,0.221,0.358,255,56.463,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment.czi_nucleo_0(10).tifnucleo_0,4,1.107,0.277,0.612,255,70.579,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment.czi_nucleo_1(11).tifnucleo_0,3,0.943,0.314,0.367,255,80.144,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment.czi_nucleo_2(11).tifnucleo_0,3,0.766,0.255,0.546,255,65.123,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment.czi_nucleo_3(12).tifnucleo_0,6,1.286,0.214,0.721,255,54.652,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-03_Out_Channel Alignment.czi_nucleo_0(11).tifnucleo_0,5,1.377,0.275,0.671,255,70.248,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-03_Out_Channel Alignment.czi_nucleo_1(12).tifnucleo_0,5,1.139,0.228,0.57,255,58.107,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-03_Out_Channel Alignment.czi_nucleo_2(14).tifnucleo_0,2,0.406,0.203,0.282,255,51.824,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-03_Out_Channel Alignment.czi_nucleo_3(15).tifnucleo_0,1,0.151,0.151,0.083,255,38.437,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment.czi_nucleo_0(10).tifnucleo_0,3,0.765,0.255,0.569,255,65.034,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment.czi_nucleo_1(8).tifnucleo_0,3,0.688,0.229,0.534,255,58.496,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment.czi_nucleo_0(13).tifnucleo_0,2,0.505,0.253,0.302,255,64.416,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment.czi_nucleo_1(12).tifnucleo_0,4,0.852,0.213,0.509,255,54.343,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment.czi_nucleo_2(20).tifnucleo_0,3,0.721,0.24,0.388,255,61.323,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment.czi_nucleo_3(14).tifnucleo_0,2,0.455,0.228,0.265,255,58.054,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment.czi_nucleo_4(12).tifnucleo_0,3,0.913,0.304,0.574,255,77.582,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment.czi_nucleo_5(12).tifnucleo_0,2,0.408,0.204,0.293,255,51.957,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment.czi_nucleo_0(10).tifnucleo_0,6,1.289,0.215,0.6,255,54.784,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment.czi_nucleo_1(11).tifnucleo_0,2,0.346,0.173,0.215,255,44.137,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment.czi_nucleo_2(11).tifnucleo_0,3,0.681,0.227,0.43,255,57.877,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment.czi_nucleo_0(18).tifnucleo_0,3,0.499,0.166,0.34,255,42.414,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment.czi_nucleo_1(16).tifnucleo_0,2,0.42,0.21,0.329,255,53.547,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment.czi_nucleo_2(17).tifnucleo_0,6,1.069,0.178,0.414,255,45.418,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-08_Out_Channel Alignment.czi_nucleo_0(13).tifnucleo_0,7,1.44,0.206,0.698,255,52.449,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-08_Out_Channel Alignment.czi_nucleo_1(12).tifnucleo_0,3,0.69,0.23,0.394,255,58.672,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-08_Out_Channel Alignment.czi_nucleo_2(14).tifnucleo_0,2,0.886,0.443,0.463,255,112.926,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment.czi_nucleo_0(12).tifnucleo_0,2,0.366,0.183,0.242,255,46.655,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment.czi_nucleo_1(14).tifnucleo_0,1,0.814,0.814,0.395,255,207.562,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment.czi_nucleo_2(14).tifnucleo_0,3,0.738,0.246,0.367,255,62.737,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment.czi_nucleo_3(12).tifnucleo_0,1,0.338,0.338,0.138,255,86.153,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment.czi_nucleo_0(14).tifnucleo_0,2,0.367,0.183,0.157,255,46.788,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment.czi_nucleo_1(15).tifnucleo_0,2,0.66,0.33,0.335,255,84.165,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment.czi_nucleo_2(15).tifnucleo_0,2,0.35,0.175,0.186,255,44.667,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment.czi_nucleo_3(16).tifnucleo_0,1,0.517,0.517,0.404,255,131.747,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment.czi_nucleo_4(14).tifnucleo_0,1,0.394,0.394,0.257,255,100.467,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-11_Out_Channel Alignment.czi_nucleo_0(15).tifnucleo_0,2,0.7,0.35,0.452,255,89.201,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-11_Out_Channel Alignment.czi_nucleo_1(13).tifnucleo_0,2,1.098,0.549,0.579,255,139.965,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-11_Out_Channel Alignment.czi_nucleo_2(13).tifnucleo_0,5,0.921,0.184,0.567,255,46.973,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment.czi_nucleo_0(12).tifnucleo_0,5,1.164,0.233,0.603,255,59.379,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment.czi_nucleo_1(10).tifnucleo_0,10,2.172,0.217,1.013,255,55.376,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment.czi_nucleo_2(12).tifnucleo_0,4,1.165,0.291,0.627,255,74.29,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment.czi_nucleo_3(12).tifnucleo_0,0,0,NaN,0,NaN,NaN,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment.czi_nucleo_0(13).tifnucleo_0,4,1.268,0.317,0.664,255,80.851,ct_sc,2022_05_22
CT-scramble-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment.czi_nucleo_1(13).tifnucleo_0,2,0.778,0.389,0.456,255,99.142,ct_sc,2022_05_22
