label,Area,id_gh2ax,id_ku80,id_fak,id_dapi,tto
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_35.tiff,2.245,97209.349,36179.304,43836.696,132373.396,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_36.tiff,2.598,86067.031,42221.028,45702.681,172400.073,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_37.tiff,3.031,196535.544,65024.86,65203.966,160298.151,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_38.tiff,6.381,347108.052,131698.82,117817.448,393320.515,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_39.tiff,2.547,105061.106,47135.919,46560.752,166256.294,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_4.tiff,2.547,148277.189,68901.875,57757.069,142588.534,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_40.tiff,2.651,141086.449,48944.192,64537.684,114964.869,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_41.tiff,3.493,183897.285,68366.039,71732.918,190662.942,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_42.tiff,3.128,187315.955,61893.995,66881.841,208577.862,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_43.tiff,3.34,178843.993,60879.134,67521.081,169813.832,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_44.tiff,6.715,390271.699,128173.954,144906.563,452097.041,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_45.tiff,4.392,245540.412,103598.748,81611.116,325036.918,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_46.tiff,2.834,215370.931,58108.166,64435.327,189353.357,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_47.tiff,3.193,158213.368,67880.154,59636.821,217753.921,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_48.tiff,3.431,243433.184,74800.463,85750.316,172854.526,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_49.tiff,4.191,237917.737,84104.49,77505.527,311375.379,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_5.tiff,5.154,264863.331,118665.463,106098.419,258883.529,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_50.tiff,2.495,97539.099,38115.372,41792.464,191283.876,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_51.tiff,3.373,190759.833,65276.977,62681.987,213083.589,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_52.tiff,6.953,527998.361,162900.671,166839.999,347850.293,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_53.tiff,2.292,128028.173,51700.599,42595.877,174505.352,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_54.tiff,2.811,139091.34,59513.94,52988.91,194256.851,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_55.tiff,5.978,354526.526,115769.124,118632.812,338931.033,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_56.tiff,3.48,181789.709,74735.1,65325.595,259771.469,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_57.tiff,2.445,153672.585,47196.109,50119.986,167338.02,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_58.tiff,4.428,220029.119,83518.9,85459.144,362176.254,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_59.tiff,7.679,442594.38,161521.307,148579.229,426658.076,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_6.tiff,2.802,146171.172,60507.827,66232.154,154728.503,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_60.tiff,2.954,196356.606,54681.88,60337.476,213922.899,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_61.tiff,3.189,242523.849,64488.328,76952.967,175524.377,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_62.tiff,2.547,169388.41,53911.583,57125.847,146757.202,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_63.tiff,2.932,133092.407,54473.166,45239.472,158661.414,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_64.tiff,5.308,294418.002,102812.338,117817.331,347200.976,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_65.tiff,3.318,183269.592,61332.124,64312.813,191792.947,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_66.tiff,6.287,242953.691,143978.611,117673.247,448905.902,doxdmso
