n,tto n,tto,Label,Area,Mean,IntDen ku80,IntDengh2ax,Md Mean ku80,Md Mean gh2ax,CTCF ku80,CTCF gh2ax
91,34,ct_sifak,(11)CT-siFAK-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment-1.cziku80:0001-0267,156.838,2973.055,466288.161,337026.943,701.578,106.774,356254.0706,320280.7224
92,35,ct_sifak,(11)CT-siFAK-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment-1.cziku80:0002-0262,87.104,2618.755,228103.891,4233893.311,701.578,106.774,166993.6409,4224592.869
93,36,ct_sifak,(11)CT-siFAK-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment-1.cziku80:0003-0933,97.677,3084.485,301283.936,364508.291,701.578,106.774,232755.9017,354078.927
94,37,ct_sifak,(11)CT-siFAK-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment-1.cziku80:0004-1199,85.658,3039.113,260324.165,162738.339,701.578,106.774,200228.3967,153592.2917
95,38,ct_sifak,(11)CT-siFAK-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment-1.cziku80:0005-1565,128.657,2722.964,350327.966,279915.321,701.578,106.774,260065.0453,266178.0985
96,39,ct_sifak,(11)CT-siFAK-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment-1.cziku80:0006-2076,137.704,2597.487,357684.613,169729.043,701.578,106.774,261074.5161,155025.8361
97,40,ct_sifak,(12)CT-siFAK-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.cziku80:0002-0828,92.879,2138.901,198658.246,77124.712,489.936,69.767,153153.4803,70644.82281
98,41,ct_sifak,(12)CT-siFAK-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.cziku80:0003-0821,116.657,1860.372,217026.076,146331.56,489.936,69.767,159871.612,138192.7511
99,42,ct_sifak,(12)CT-siFAK-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.cziku80:0004-1490,137.548,2101.266,289025.246,97324.656,489.936,69.767,221635.5291,87728.34468
100,43,ct_sifak,(12)CT-siFAK-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.cziku80:0005-1623,92.772,1848.498,171488.063,80574.349,489.936,69.767,126035.7204,74101.92488
101,44,ct_sifak,(12)CT-siFAK-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.cziku80:0006-1889,87.975,2074.551,182508.845,130584.924,489.936,69.767,139406.7254,124447.1722
102,45,ct_sifak,(12)CT-siFAK-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.cziku80:0007-1926,114.909,1901.952,218551.025,87602.831,489.936,69.767,162252.9692,79585.9748
103,46,ct_sifak,(16)CT-siFAK-h2ax-647-ku80-564-dapi-11_Out_Channel Alignment-1.cziku80:0002-1444,130.081,2876.899,374230.017,600917.439,742.5826667,119.0423333,277634.1211,585432.2932
104,47,ct_sifak,(16)CT-siFAK-h2ax-647-ku80-564-dapi-11_Out_Channel Alignment-1.cziku80:0003-1702,115.359,2424.181,279650.9,219004.337,742.5826667,119.0423333,193987.3062,205271.7325
105,48,ct_sifak,(16)CT-siFAK-h2ax-647-ku80-564-dapi-11_Out_Channel Alignment-1.cziku80:0004-1929,216.779,2563.623,555738.451,781342.526,742.5826667,119.0423333,394762.1231,755536.648
106,49,ct_sifak,(15)CT-siFAK-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment-1.cziku80:0003-0501,131.536,2983.432,392430.024,93317.812,611.0846667,55.03666667,312050.3913,86078.50901
107,50,ct_sifak,(15)CT-siFAK-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment-1.cziku80:0004-0937,119.804,2814.012,337130.107,300574.268,611.0846667,55.03666667,263919.7196,293980.6552
108,51,ct_sifak,(15)CT-siFAK-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment-1.cziku80:0005-1101,125.446,3141.601,394100.266,143897.678,611.0846667,55.03666667,317442.1389,136993.5483
109,52,ct_sifak,(15)CT-siFAK-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment-1.cziku80:0006-1543,122.342,2639.646,322938.553,84389.104,611.0846667,55.03666667,248177.2327,77655.80813
110,53,ct_sifak,(15)CT-siFAK-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment-1.cziku80:0007-1637,88.907,2668.113,237212.696,151667.409,611.0846667,55.03666667,182882.9915,146774.2641
111,54,ct_sifak,(15)CT-siFAK-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment-1.cziku80:0008-2026,121.991,2508.462,306010.491,111079.907,611.0846667,55.03666667,231463.6614,104365.929
112,55,ct_sifak,(15)CT-siFAK-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment-1.cziku80:0001-0345,101.19,1313.456,132908.384,438981.595,288.609,133.951,103704.0393,425427.0933
