index novo,tratamento,index novo,label,area,ctcf fak,ctcf ku80,ctcf gammah2ax
51,doxo12h,7,(9)doxo12h-h2ax-647-ku80-564-fak-488-dapi-06_Out_Channel Alignment-1.czifak:nucleo0,193.562,560848.5463,2314107.638,368627.5237
52,doxo12h,8,(9)doxo12h-h2ax-647-ku80-564-fak-488-dapi-06_Out_Channel Alignment-1.czifak:nucleo1,216.112,612054.9021,2596957.802,3115553.662
53,doxo12h,9,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment-1.czifak:nucleo0,211.121,1793985.142,2337422.973,834502.4463
54,doxo12h,10,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment-1.czifak:nucleo2,194.718,1466668.914,1858714.478,684238.8875
55,doxo12h,11,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment-1.czifak:nucleo3,239.972,1536529.753,1800447.084,1039965.434
56,doxo12h,12,(16)doxo12h-h2ax-647-ku80-564-fak-488-dapi-08_Out_Channel Alignment-1.czifak:nucleo0,264.179,1170752.642,1695867.756,276624.7036
57,doxo12h,13,(16)doxo12h-h2ax-647-ku80-564-fak-488-dapi-08_Out_Channel Alignment-1.czifak:nucleo3,238.763,1118413.877,1709081.029,491494.3376
58,doxo12h,14,(11)doxo12h-h2ax-647-ku80-564-fak-488-dapi-09_Out_Channel Alignment-1.czifak:nucleo0,239.532,665294.5366,3126099.719,6596770.165
59,doxo12h,15,(11)doxo12h-h2ax-647-ku80-564-fak-488-dapi-09_Out_Channel Alignment-1.czifak:nucleo1,240.871,514671.9276,2212860.835,1652544.313
60,doxo12h,16,(15)doxo12h-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment-1.czifak:nucleo0,183.014,516379.6408,1634381.861,1194617.144
61,doxo12h,17,(15)doxo12h-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment-1.czifak:nucleo1,202.968,703848.8243,1120344.274,3205061.365
62,doxo12h,18,(15)doxo12h-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment-1.czifak:nucleo2,214.142,589071.6056,1452022.242,1272365.32
63,doxo12h,19,(12)doxo12h-h2ax-647-ku80-564-fak-488-dapi-11_Out_Channel Alignment-1.czifak:nucleo0,298.795,1795706.277,3415624.415,2188479.85
64,doxo12h,20,(12)doxo12h-h2ax-647-ku80-564-fak-488-dapi-11_Out_Channel Alignment-1.czifak:nucleo1,258.142,1885983.283,3153650.948,4099239.43
65,doxo12h,21,(12)doxo12h-h2ax-647-ku80-564-fak-488-dapi-11_Out_Channel Alignment-1.czifak:nucleo2,265.468,1146124.463,2885635.577,1351897.774
66,doxo12h,22,(9)doxo12h-h2ax-647-ku80-564-fak-488-dapi-12_Out_Channel Alignment-1.czifak:nucleo0,232.563,1298800.942,2912676.09,832664.1713
67,doxo12h,23,(9)doxo12h-h2ax-647-ku80-564-fak-488-dapi-12_Out_Channel Alignment-1.czifak:nucleo1,265.094,2018322.646,3112713.463,2039527.38
68,doxo12h,24,(12)doxo12h-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czifak:nucleo0,222.695,1906738.939,2210585.245,1187216.048
69,doxo12h,25,(12)doxo12h-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czifak:nucleo1,188.787,1364670.624,1469680.468,390954.7792
