 	Label	Area	Mean	Mode	Min	Max	IntDen	Median	Skew	Kurt	RawIntDen	Group
775	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0085-0527	0.202	2114.206	1438	1391	3962	426.378	1963	1.007	0.266	410156.000	2
776	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0086-0536	0.121	1680.181	1370	1197	2613	202.609	1603	0.969	0.333	194901.000	2
777	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0087-0543	0.659	2829.033	1564	1396	6691	1864.545	2743	0.978	1.453	1793607.000	2
778	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0088-0538	0.354	2785.026	1571	1401	6270	987.255	2447	0.880	-0.021	949694.000	2
779	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0089-0547	0.110	2043.349	1726	1404	2998	225.161	1975	0.328	-1.018	216595.000	2
780	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0090-0552	0.144	2292.122	1518	1404	3954	331.206	2007	0.639	-0.943	318605.000	2
781	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0091-0564	0.538	3256.537	1408	1395	8099	1753.604	2983	0.869	0.229	1686886.000	2
782	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0092-0572	0.752	2473.954	1660	1392	5325	1859.412	2277	1.027	0.539	1788669.000	2
783	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0093-0562	0.155	2003.215	1533	1407	3600	310.284	1811	1.265	0.838	298479.000	2
784	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0094-0567	0.254	2425.414	1399	1391	4724	615.207	2188	0.805	-0.269	591801.000	2
