index,index_original,tto,Label,Area,media bc fak,media bc ku80,media bc gh2ax,intden fak,intden ku80,intden gh2ax,RawIntDen fak,RawIntDen ku80,RawIntDen gh2ax,fak CTCF,Column1,ku80 CTCF,Column2,gh2ax CTCF,Column3
44,265,Dox 12 PF 12,(9)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-05_Out_Channel Alignment-1.czifak:nucleo0,324.465,596.2746667,137.384,287.7143333,4694508.462,3235115.915,3790424.64,4515901582,3112032963,3646214458,3041645.655,3041645.655,3190539.615,3190539.615,3697071.409,3697071.409
45,266,Dox 12 PF 12,(9)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-05_Out_Channel Alignment-1.czifak:nucleo1,267.246,596.2746667,137.384,287.7143333,3327781.852,2794405.326,2101606.808,3201173339,2688089612,2021649249,2635053.306,2635053.306,2757690.002,2757690.002,2024716.303,2024716.303
46,267,Dox 12 PF 12,(9)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-05_Out_Channel Alignment-1.czifak:nucleo2,297.547,596.2746667,137.384,287.7143333,3328043.249,2586432.636,2128858.268,3201424791,2488029434,2047863903,2409012.898,2409012.898,2545554.439,2545554.439,2043249.731,2043249.731
47,283,Dox 12 PF 12,(8)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-06_Out_Channel Alignment-1.czifak:nucleo0,327.351,492.9293333,316.086,70.086,2957323.408,5739164.087,236489.483,2844809327,5520812326,227492024,5577803.177,5577803.177,5635693.019,5635693.019,213546.7608,213546.7608
48,295,Dox 12 PF 12,(11)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-07_Out_Channel Alignment-1.czifak:nucleo0,264.382,190.451,227.33,61.94466667,1326415.816,5633184.741,1099781.305,1275951110,5418865061,1057939117,5582832.925,5582832.925,5573082.781,5573082.781,1083404.25,1083404.25
49,296,Dox 12 PF 12,(11)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-07_Out_Channel Alignment-1.czifak:nucleo1,250.162,190.451,227.33,61.94466667,1058033.455,4990221.385,682228.678,1017779602,4800363836,656272662,4942577.782,4942577.782,4933352.058,4933352.058,666732.4763,666732.4763
50,297,Dox 12 PF 12,(11)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-07_Out_Channel Alignment-1.czifak:nucleo2,241.191,190.451,227.33,61.94466667,973810.54,3951112.563,521681.644,936761025,3800788862,501833787,3905177.496,3905177.496,3896282.613,3896282.613,506741.1479,506741.1479
51,298,Dox 12 PF 12,(11)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-07_Out_Channel Alignment-1.czifak:nucleo3,246.841,190.451,227.33,61.94466667,916317.754,3821467.283,394212.018,881455605,3676076055,379213860,3774456.168,3774456.168,3765352.918,3765352.918,378921.5345,378921.5345
52,316,Dox 12 PF 12,(11)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-08_Out_Channel Alignment-1.czifak:nucleo0,334.292,815.5476667,225.1156667,114.3986667,5436160.381,6454631.63,1160158.291,5229336673,6209059250,1116019005,6182000.569,6182000.569,6379377.264,6379377.264,1121915.732,1121915.732
53,317,Dox 12 PF 12,(11)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-08_Out_Channel Alignment-1.czifak:nucleo1,319.292,815.5476667,225.1156667,114.3986667,5005185.836,5768058.057,802119.221,4814758950,5548606998,771601860,5507660.211,5507660.211,5696180.426,5696180.426,765592.6419,765592.6419
54,318,Dox 12 PF 12,(11)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-08_Out_Channel Alignment-1.czifak:nucleo2,318.211,815.5476667,225.1156667,114.3986667,5028682.845,5117586.897,980544.605,4837361994,4922883610,943238886,4858070.658,4858070.658,5045952.616,5045952.616,944141.6909,944141.6909
55,334,Dox 12 PF 12,(5)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-09_Out_Channel Alignment-1.czifak:nucleo0,470.134,636.3606667,78.655,91.844,6271953.503,1565332.941,4363707.519,6033331280,1505778414,4197686264,1266158.155,1266158.155,1528354.551,1528354.551,4320528.532,4320528.532
56,335,Dox 12 PF 12,(5)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-09_Out_Channel Alignment-1.czifak:nucleo1,234.042,636.3606667,78.655,91.844,4575021.73,2528825.465,1609152.285,4400960832,2432613981,1547930610,2379890.342,2379890.342,2510416.891,2510416.891,1587656.932,1587656.932
57,336,Dox 12 PF 12,(5)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-09_Out_Channel Alignment-1.czifak:nucleo2,381.056,636.3606667,78.655,91.844,5097933.288,1595378.208,2289754.113,4903977740,1534680581,2202638318,1352889.158,1352889.158,1565406.248,1565406.248,2254756.406,2254756.406
58,352,Dox 12 PF 12,(9)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-10_Out_Channel Alignment-1.czifak:nucleo0,247.271,732.1676667,484.6656667,394.3583333,4222346.983,5429260.321,1366140.656,4061703919,5222699133,1314164582,5248216.49,5248216.49,5309416.557,5309416.557,1268627.277,1268627.277
59,353,Dox 12 PF 12,(9)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-10_Out_Channel Alignment-1.czifak:nucleo1,292.215,732.1676667,484.6656667,394.3583333,3580329.257,4101796.23,694806.244,3444112347,3945739630,668371703,3887845.855,3887845.855,3960169.652,3960169.652,579568.8236,579568.8236
60,354,Dox 12 PF 12,(9)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-10_Out_Channel Alignment-1.czifak:nucleo2,283.931,732.1676667,484.6656667,394.3583333,3877930.76,4379810.678,1209358.868,3730391328,4213176764,1163347701,4171925.58,4171925.58,4242199.071,4242199.071,1097388.312,1097388.312
61,370,Dox 12 PF 12,(6)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-11_Out_Channel Alignment-1.czifak:nucleo0,234.64,527.811,138.0086667,239.5936667,3426093.241,2473689.691,713955.514,3295744381,2379575898,686792422,2349844.118,2349844.118,2441307.337,2441307.337,657737.2561,657737.2561
62,371,Dox 12 PF 12,(6)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-11_Out_Channel Alignment-1.czifak:nucleo1,276.662,527.811,138.0086667,239.5936667,3233582.665,2357299.378,738649.858,3110558047,2267613761,710547247,2211274.131,2211274.131,2319117.624,2319117.624,672363.395,672363.395
63,385,Dox 12 PF 12,(7)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-12_Out_Channel Alignment-1.czifak:nucleo0,285.422,856.4146667,414.563,319.4163333,4897056.498,8307968.678,781069.052,4710743492,7991884390,751352564,8063529.091,8063529.091,8189643.277,8189643.277,689900.6033,689900.6033
64,397,Dox 12 PF 12,(9)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-13_Out_Channel Alignment-1.czifak:nucleo0,404.37,624.2213333,430.791,208.8406667,8632123.804,11608062.45,10254123.64,8303706737,11166423063,9863996103,11355646.07,11355646.07,11433863.49,11433863.49,10169674.74,10169674.74
65,398,Dox 12 PF 12,(9)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-13_Out_Channel Alignment-1.czifak:nucleo1,469.307,624.2213333,430.791,208.8406667,7827399.937,8875413.25,7943479.915,7529599327,8537740013,7641262936,8582461.809,8582461.809,8673240.018,8673240.018,7845469.528,7845469.528
