label	max_9000	sum_9000
Dox-scramble-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment.czi_nucleo_1(8).tif	3	187
Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment.czi_nucleo_0(8).tif	104	276
Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment.czi_nucleo_1(10).tif	78	212
Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment.czi_nucleo_2(11).tif	81	525
Dox-scramble-h2ax-647-ku80-564-dapi-11_Out_Channel Alignment.czi_nucleo_0(7).tif	146	1028
Dox-scramble-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment.czi_nucleo_0(10).tif	191	815
Dox-scramble-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment.czi_nucleo_1(12).tif	145	679
Dox-scramble-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment.czi_nucleo_0(12).tif	90	587
Dox-scramble-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment.czi_nucleo_1(11).tif	141	685
Dox-scramble-h2ax-647-ku80-564-dapi-14_Out_Channel Alignment.czi_nucleo_0(11).tif	102	655
Dox-scramble-h2ax-647-ku80-564-dapi-14_Out_Channel Alignment.czi_nucleo_1(9).tif	127	607
Dox-scramble-h2ax-647-ku80-564-dapi-14_Out_Channel Alignment.czi_nucleo_2(9).tif	191	453
Dox-scramble-h2ax-647-ku80-564-dapi-14_Out_Channel Alignment.czi_nucleo_3(9).tif	206	810
Dox-scramble-h2ax-647-ku80-564-dapi-15_Out_Channel Alignment.czi_nucleo_0(10).tif	126	841
Dox-scramble-h2ax-647-ku80-564-dapi-15_Out_Channel Alignment.czi_nucleo_1(12).tif	180	672
Dox-scramble-h2ax-647-ku80-564-dapi-15_Out_Channel Alignment.czi_nucleo_2(16).tif	1	212
Dox-scramble-h2ax-647-ku80-564-dapi-teste_Out_Channel Alignment.czi_nucleo_0(11).tif	4	223
Dox-scramble-h2ax-647-ku80-564-dapi-teste_Out_Channel Alignment.czi_nucleo_1(10).tif	5	190
Dox-scramble-h2ax-647-ku80-564-dapi-teste_Out_Channel Alignment.czi_nucleo_2(13).tif	5	257
Dox-siFAK-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment.czi_nucleo_0(15).tif	51	564
Dox-siFAK-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment.czi_nucleo_1(12).tif	207	764
Dox-siFAK-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment.czi_nucleo_0(11).tif	44	848
Dox-siFAK-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment.czi_nucleo_1(9).tif	177	585
Dox-siFAK-h2ax-647-ku80-564-dapi-03_Out_Channel Alignment.czi_nucleo_0(11).tif	5	376
Dox-siFAK-h2ax-647-ku80-564-dapi-03_Out_Channel Alignment.czi_nucleo_1(13).tif	26	207
Dox-siFAK-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment.czi_nucleo_0(12).tif	130	647
Dox-siFAK-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment.czi_nucleo_1(13).tif	84	468
Dox-siFAK-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment.czi_nucleo_0(12).tif	78	429
Dox-siFAK-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment.czi_nucleo_0(12).tif	93	781
Dox-siFAK-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment.czi_nucleo_1(12).tif	189	391
Dox-siFAK-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment.czi_nucleo_0(9).tif	165	666
Dox-siFAK-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment.czi_nucleo_1(8).tif	94	690
Dox-siFAK-h2ax-647-ku80-564-dapi-08_Out_Channel Alignment.czi_nucleo_0(9).tif	140	633
Dox-siFAK-h2ax-647-ku80-564-dapi-08_Out_Channel Alignment.czi_nucleo_1(9).tif	17	463
Dox-siFAK-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment.czi_nucleo_0(11).tif	43	372
Dox-siFAK-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment.czi_nucleo_1(12).tif	9	243
Dox-siFAK-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment.czi_nucleo_0(7).tif	3	214
Dox-siFAK-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment.czi_nucleo_1(9).tif	2	184
Dox-siFAK-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment.czi_nucleo_2(10).tif	1	248
