Slice,Count,Total Area,Average Size,%Area,Mean,IntDen,tto
Dox-scramble-h2ax-647-ku80-564-dapi-teste_Out_Channel Alignment.czi_nucleo_2(12).tifnucleo_0,85,38.364,0.451,12.481,255,115.091,dox_scramble
Dox-siFAK-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment.czi_nucleo_0(13).tifnucleo_0,37,21.849,0.591,8.119,255,150.583,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment.czi_nucleo_1(14).tifnucleo_0,60,24.11,0.402,7.763,255,102.469,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment.czi_nucleo_0(13).tifnucleo_0,19,21.725,1.143,7.079,255,291.566,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment.czi_nucleo_1(13).tifnucleo_0,50,19.948,0.399,9.081,255,101.734,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-03_Out_Channel Alignment.czi_nucleo_0(14).tifnucleo_0,28,24.708,0.882,8.453,255,225.02,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-03_Out_Channel Alignment.czi_nucleo_1(15).tifnucleo_0,54,20.351,0.377,10.358,255,96.103,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment.czi_nucleo_0(13).tifnucleo_0,46,26.311,0.572,9.545,255,145.855,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment.czi_nucleo_1(15).tifnucleo_0,55,29.473,0.536,10.096,255,136.649,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment.czi_nucleo_0(13).tifnucleo_0,33,13.779,0.418,6.922,255,106.476,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment.czi_nucleo_0(14).tifnucleo_0,34,26.563,0.781,9.442,255,199.219,dox_sifak
