,Label,Area,Mean,Circ.,IntDen,Kurt,RawIntDen,AR,Round,tto,tto2,imgn,nucleon,roin
46,SUM_(16)CT-scramble-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.czinucleo_0-roi_0-1.tiff,3.93,25.837,0.000816,101.528,4.982,97665,1.05,0.952,sict,CT-scramble,01,0,0
47,SUM_(16)CT-scramble-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.czinucleo_0-roi_1-1.tiff,2.598,27.143,0.000816,70.513,4.514,67830,1.041,0.961,sict,CT-scramble,01,0,1
48,SUM_(16)CT-scramble-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.czinucleo_1-roi_0-1.tiff,5.838,32.465,0.000815,189.536,3.0,182325,1.083,0.923,sict,CT-scramble,01,1,0
49,SUM_(16)CT-scramble-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.czinucleo_1-roi_1-1.tiff,3.14,19.667,0.000815,61.765,8.049,59415,1.075,0.93,sict,CT-scramble,01,1,1
50,SUM_(16)CT-scramble-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.czinucleo_1-roi_2-1.tiff,3.251,52.272,0.000814,169.92,0.136,163455,1.113,0.898,sict,CT-scramble,01,1,2
51,SUM_(16)CT-scramble-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.czinucleo_1-roi_3-1.tiff,2.651,40.3,0.000816,106.829,1.515,102765,1.02,0.98,sict,CT-scramble,01,1,3
52,SUM_(16)CT-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_2-roi_0-1.tiff,2.248,19.697,0.000816,44.269,8.03,42585,1.022,0.979,sict,CT-scramble,07,2,0
53,SUM_(16)CT-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_2-roi_1-1.tiff,2.395,19.036,0.000817,45.595,8.476,43860,1.0,1.0,sict,CT-scramble,07,2,1
54,SUM_(17)CT-scramble-h2ax-647-ku80-564-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_0-1.tiff,3.202,33.614,0.000816,107.625,2.738,103530,1.018,0.982,sict,CT-scramble,03,0,0
55,SUM_(17)CT-scramble-h2ax-647-ku80-564-dapi-11_Out_Channel Alignment-1.czinucleo_1-roi_0-1.tiff,4.641,41.529,0.000812,192.717,1.335,185385,1.161,0.861,sict,CT-scramble,11,1,0
56,SUM_(17)CT-scramble-h2ax-647-ku80-564-dapi-11_Out_Channel Alignment-1.czinucleo_2-roi_0-1.tiff,2.495,14.238,0.000816,35.521,12.97,34170,1.042,0.96,sict,CT-scramble,11,2,0
57,SUM_(17)CT-scramble-h2ax-647-ku80-564-dapi-11_Out_Channel Alignment-1.czinucleo_2-roi_1-1.tiff,2.433,20.923,0.000812,50.896,7.277,48960,1.156,0.865,sict,CT-scramble,11,2,1
58,SUM_(17)CT-scramble-h2ax-647-ku80-564-dapi-11_Out_Channel Alignment-1.czinucleo_2-roi_2-1.tiff,2.339,23.573,0.000814,55.138,5.919,53040,1.111,0.9,sict,CT-scramble,11,2,2
