,Label,Area,Mean,Circ.,IntDen,Kurt,RawIntDen,AR,Round,tto,tto2,imgn,nucleon,roin
391,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_28-1.tiff,9.402,83.684,0.000777,786.774,-1.464,756840,1.566,0.639,dox_sc,Dox-scramble,07,0,28
392,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_29-1.tiff,2.391,56.1,0.000815,134.133,-0.172,129030,1.087,0.92,dox_sc,Dox-scramble,07,0,29
393,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_3-1.tiff,4.595,86.942,0.000816,399.484,-1.55,384285,1.046,0.956,dox_sc,Dox-scramble,07,0,3
394,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_30-1.tiff,3.557,81.075,0.000816,288.413,-1.389,277440,1.017,0.983,dox_sc,Dox-scramble,07,0,30
395,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_31-1.tiff,2.651,69.8,0.000816,185.03,-0.97,177990,1.02,0.98,dox_sc,Dox-scramble,07,0,31
396,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_32-1.tiff,4.591,97.184,0.000815,446.139,-1.76,429165,1.078,0.928,dox_sc,Dox-scramble,07,0,32
397,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_33-1.tiff,6.644,65.835,0.000815,437.391,-0.779,420750,1.078,0.928,dox_sc,Dox-scramble,07,0,33
398,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_34-1.tiff,2.541,91.608,0.000814,232.745,-1.656,223890,1.106,0.904,dox_sc,Dox-scramble,07,0,34
399,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_35-1.tiff,2.649,68.153,0.000816,180.523,-0.894,173655,1.061,0.942,dox_sc,Dox-scramble,07,0,35
400,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_36-1.tiff,3.135,96.555,0.000814,302.728,-1.75,291210,1.115,0.897,dox_sc,Dox-scramble,07,0,36
401,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_37-1.tiff,8.456,71.384,0.000811,603.6,-1.039,580635,1.181,0.847,dox_sc,Dox-scramble,07,0,37
402,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_38-1.tiff,5.967,83.697,0.000811,499.421,-1.465,480420,1.171,0.854,dox_sc,Dox-scramble,07,0,38
403,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_39-1.tiff,3.26,67.003,0.000802,218.43,-0.838,210120,1.306,0.766,dox_sc,Dox-scramble,07,0,39
404,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_4-1.tiff,5.352,95.501,0.000811,511.085,-1.731,491640,1.182,0.846,dox_sc,Dox-scramble,07,0,4
405,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_40-1.tiff,5.302,80.6,0.000815,427.318,-1.374,411060,1.103,0.907,dox_sc,Dox-scramble,07,0,40
406,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_41-1.tiff,2.496,74.025,0.000817,184.765,-1.146,177735,1.0,1.0,dox_sc,Dox-scramble,07,0,41
407,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_42-1.tiff,8.524,69.783,0.000809,594.852,-0.969,572220,1.22,0.82,dox_sc,Dox-scramble,07,0,42
408,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_43-1.tiff,5.502,83.924,0.000811,461.779,-1.471,444210,1.179,0.848,dox_sc,Dox-scramble,07,0,43
409,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_44-1.tiff,2.573,102.721,0.000808,264.29,-1.843,254235,1.222,0.818,dox_sc,Dox-scramble,07,0,44
410,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_45-1.tiff,2.59,98.069,0.000814,253.952,-1.775,244290,1.128,0.887,dox_sc,Dox-scramble,07,0,45
411,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_46-1.tiff,4.46,86.129,0.000792,384.109,-1.529,369495,1.418,0.705,dox_sc,Dox-scramble,07,0,46
412,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_47-1.tiff,5.522,96.825,0.000803,534.677,-1.754,514335,1.297,0.771,dox_sc,Dox-scramble,07,0,47
413,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_48-1.tiff,2.919,81.186,0.000816,236.986,-1.392,227970,1.038,0.963,dox_sc,Dox-scramble,07,0,48
414,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_49-1.tiff,2.547,69.006,0.000816,175.752,-0.934,169065,1.02,0.98,dox_sc,Dox-scramble,07,0,49
415,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_5-1.tiff,4.25,72.42,0.000802,307.764,-1.082,296055,1.304,0.767,dox_sc,Dox-scramble,07,0,5
416,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_50-1.tiff,3.864,95.428,0.000816,368.734,-1.73,354705,1.068,0.937,dox_sc,Dox-scramble,07,0,50
417,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_51-1.tiff,4.266,59.338,0.000805,253.157,-0.399,243525,1.263,0.792,dox_sc,Dox-scramble,07,0,51
418,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_52-1.tiff,5.065,100.074,0.000778,506.843,-1.806,487560,1.554,0.644,dox_sc,Dox-scramble,07,0,52
419,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_53-1.tiff,3.181,105.833,0.000811,336.658,-1.881,323850,1.176,0.85,dox_sc,Dox-scramble,07,0,53
420,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_54-1.tiff,3.287,98.871,0.000809,324.995,-1.788,312630,1.216,0.823,dox_sc,Dox-scramble,07,0,54
421,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_55-1.tiff,6.599,93.155,0.0008,614.733,-1.687,591345,1.333,0.75,dox_sc,Dox-scramble,07,0,55
422,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_56-1.tiff,3.181,64.417,0.000811,204.911,-0.703,197115,1.176,0.85,dox_sc,Dox-scramble,07,0,56
423,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_57-1.tiff,3.497,96.194,0.000817,336.393,-1.743,323595,1.0,1.0,dox_sc,Dox-scramble,07,0,57
424,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_58-1.tiff,3.619,72.669,0.000817,262.965,-1.092,252960,1.0,1.0,dox_sc,Dox-scramble,07,0,58
425,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_59-1.tiff,3.945,101.328,0.000806,399.749,-1.824,384540,1.255,0.797,dox_sc,Dox-scramble,07,0,59
426,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_6-1.tiff,6.83,61.247,0.000808,418.305,-0.52,402390,1.233,0.811,dox_sc,Dox-scramble,07,0,6
427,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_60-1.tiff,8.761,76.458,0.000813,669.871,-1.237,644385,1.14,0.878,dox_sc,Dox-scramble,07,0,60
428,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_61-1.tiff,6.223,92.483,0.000814,575.5,-1.674,553605,1.123,0.89,dox_sc,Dox-scramble,07,0,61
429,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_62-1.tiff,6.884,106.552,0.000814,733.491,-1.889,705585,1.117,0.895,dox_sc,Dox-scramble,07,0,62
430,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_63-1.tiff,4.661,96.791,0.000804,451.175,-1.754,434010,1.288,0.776,dox_sc,Dox-scramble,07,0,63
431,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_64-1.tiff,2.561,67.683,0.000805,173.366,-0.871,166770,1.273,0.786,dox_sc,Dox-scramble,07,0,64
432,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_65-1.tiff,4.784,114.478,0.000801,547.666,-1.958,526830,1.322,0.756,dox_sc,Dox-scramble,07,0,65
433,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_66-1.tiff,2.744,121.608,0.000813,333.743,-1.991,321045,1.146,0.873,dox_sc,Dox-scramble,07,0,66
434,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_7-1.tiff,7.124,60.206,0.000812,428.908,-0.455,412590,1.156,0.865,dox_sc,Dox-scramble,07,0,7
435,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_8-1.tiff,3.311,116.011,0.0008,384.109,-1.967,369495,1.327,0.754,dox_sc,Dox-scramble,07,0,8
436,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_9-1.tiff,5.688,89.38,0.000816,508.434,-1.607,489090,1.056,0.947,dox_sc,Dox-scramble,07,0,9
437,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_1-roi_0-1.tiff,2.287,52.855,0.000813,120.879,0.086,116280,1.136,0.88,dox_sc,Dox-scramble,07,1,0
438,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_1-roi_1-1.tiff,3.376,73.799,0.000816,249.18,-1.137,239700,1.036,0.966,dox_sc,Dox-scramble,07,1,1
439,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_1-roi_10-1.tiff,3.741,55.407,0.000816,207.297,-0.12,199410,1.034,0.967,dox_sc,Dox-scramble,07,1,10
440,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_1-roi_11-1.tiff,4.416,70.053,0.000808,309.355,-0.981,297585,1.22,0.819,dox_sc,Dox-scramble,07,1,11
441,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_1-roi_12-1.tiff,4.424,63.151,0.000798,279.4,-0.633,268770,1.357,0.737,dox_sc,Dox-scramble,07,1,12
442,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_1-roi_13-1.tiff,5.54,84.697,0.000817,469.201,-1.492,451350,1.0,1.0,dox_sc,Dox-scramble,07,1,13
443,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_1-roi_14-1.tiff,5.433,75.68,0.000812,411.147,-1.209,395505,1.164,0.859,dox_sc,Dox-scramble,07,1,14
444,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_1-roi_15-1.tiff,2.98,53.811,0.000803,160.377,0.006,154275,1.298,0.77,dox_sc,Dox-scramble,07,1,15
445,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_1-roi_16-1.tiff,3.297,83.767,0.000811,276.219,-1.467,265710,1.173,0.852,dox_sc,Dox-scramble,07,1,16
446,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_1-roi_17-1.tiff,2.534,80.433,0.000812,203.851,-1.369,196095,1.152,0.868,dox_sc,Dox-scramble,07,1,17
447,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_1-roi_18-1.tiff,2.649,75.159,0.000816,199.079,-1.189,191505,1.061,0.942,dox_sc,Dox-scramble,07,1,18
448,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_1-roi_19-1.tiff,2.726,90.446,0.000807,246.529,-1.631,237150,1.239,0.807,dox_sc,Dox-scramble,07,1,19
449,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_1-roi_2-1.tiff,4.416,86.741,0.000808,383.048,-1.545,368475,1.22,0.819,dox_sc,Dox-scramble,07,1,2
450,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_1-roi_20-1.tiff,4.1,64.267,0.000811,263.495,-0.695,253470,1.172,0.853,dox_sc,Dox-scramble,07,1,20
451,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_1-roi_21-1.tiff,4.341,86.893,0.000807,377.217,-1.548,362865,1.241,0.806,dox_sc,Dox-scramble,07,1,21
452,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_1-roi_22-1.tiff,5.77,69.47,0.000816,400.809,-0.955,385560,1.014,0.987,dox_sc,Dox-scramble,07,1,22
453,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_1-roi_23-1.tiff,2.703,83.169,0.000816,224.792,-1.45,216240,1.04,0.962,dox_sc,Dox-scramble,07,1,23
454,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_1-roi_24-1.tiff,2.598,90.408,0.000816,234.866,-1.63,225930,1.041,0.961,dox_sc,Dox-scramble,07,1,24
455,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_1-roi_25-1.tiff,2.807,81.317,0.000815,228.239,-1.396,219555,1.08,0.926,dox_sc,Dox-scramble,07,1,25
456,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_1-roi_26-1.tiff,5.154,65.576,0.000814,337.984,-0.765,325125,1.104,0.905,dox_sc,Dox-scramble,07,1,26
457,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_1-roi_27-1.tiff,3.196,73.912,0.000815,236.191,-1.142,227205,1.094,0.914,dox_sc,Dox-scramble,07,1,27
458,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_1-roi_28-1.tiff,2.595,60.685,0.000815,157.461,-0.486,151470,1.083,0.923,dox_sc,Dox-scramble,07,1,28
459,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_1-roi_29-1.tiff,3.864,91.86,0.000816,354.949,-1.661,341445,1.068,0.937,dox_sc,Dox-scramble,07,1,29
460,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_1-roi_3-1.tiff,4.512,56.053,0.000814,252.891,-0.169,243270,1.129,0.886,dox_sc,Dox-scramble,07,1,3
461,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_1-roi_30-1.tiff,3.144,83.735,0.000802,263.23,-1.466,253215,1.312,0.762,dox_sc,Dox-scramble,07,1,30
462,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_1-roi_4-1.tiff,2.63,98.17,0.00081,258.193,-1.777,248370,1.196,0.836,dox_sc,Dox-scramble,07,1,4
463,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_1-roi_5-1.tiff,4.0,64.943,0.000792,259.784,-0.732,249900,1.423,0.703,dox_sc,Dox-scramble,07,1,5
464,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_1-roi_6-1.tiff,3.031,89.722,0.000817,271.978,-1.615,261630,1.0,1.0,dox_sc,Dox-scramble,07,1,6
465,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_1-roi_7-1.tiff,5.239,101.595,0.000816,532.292,-1.828,512040,1.029,0.972,dox_sc,Dox-scramble,07,1,7
466,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_1-roi_8-1.tiff,2.687,80.594,0.000811,216.575,-1.374,208335,1.17,0.855,dox_sc,Dox-scramble,07,1,8
467,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_1-roi_9-1.tiff,4.293,45.505,0.000811,195.368,0.821,187935,1.186,0.843,dox_sc,Dox-scramble,07,1,9
468,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_0-roi_0-1.tiff,3.376,52.366,0.000816,176.812,0.128,170085,1.036,0.966,dox_sc,Dox-scramble,10,0,0
469,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_0-roi_1-1.tiff,2.994,58.349,0.000792,174.691,-0.333,168045,1.422,0.703,dox_sc,Dox-scramble,10,0,1
470,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_0-roi_10-1.tiff,3.03,38.753,0.000816,117.433,1.759,112965,1.038,0.964,dox_sc,Dox-scramble,10,0,10
471,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_0-roi_11-1.tiff,2.343,33.374,0.000816,78.2,2.791,75225,1.065,0.939,dox_sc,Dox-scramble,10,0,11
472,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_0-roi_12-1.tiff,4.539,42.519,0.000806,192.982,1.197,185640,1.254,0.797,dox_sc,Dox-scramble,10,0,12
473,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_0-roi_2-1.tiff,2.496,28.357,0.000817,70.778,4.118,68085,1.0,1.0,dox_sc,Dox-scramble,10,0,2
474,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_0-roi_3-1.tiff,3.081,27.616,0.000815,85.092,4.355,81855,1.096,0.912,dox_sc,Dox-scramble,10,0,3
475,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_0-roi_4-1.tiff,2.391,52.663,0.000815,125.916,0.102,121125,1.087,0.92,dox_sc,Dox-scramble,10,0,4
476,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_0-roi_5-1.tiff,3.119,38.08,0.00081,118.758,1.872,114240,1.2,0.833,dox_sc,Dox-scramble,10,0,5
477,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_0-roi_6-1.tiff,2.345,53.464,0.000816,125.385,0.035,120615,1.021,0.979,dox_sc,Dox-scramble,10,0,6
478,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_0-roi_7-1.tiff,2.744,37.67,0.000797,103.383,1.943,99450,1.364,0.733,dox_sc,Dox-scramble,10,0,7
479,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_0-roi_8-1.tiff,2.794,42.405,0.000812,118.493,1.213,113985,1.167,0.857,dox_sc,Dox-scramble,10,0,8
480,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_0-roi_9-1.tiff,2.916,37.273,0.000815,108.685,2.013,104550,1.078,0.927,dox_sc,Dox-scramble,10,0,9
481,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_1-roi_0-1.tiff,2.245,23.375,0.000816,52.487,6.01,50490,1.067,0.938,dox_sc,Dox-scramble,10,1,0
482,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_1-roi_1-1.tiff,2.445,32.634,0.000816,79.791,2.961,76755,1.021,0.98,dox_sc,Dox-scramble,10,1,1
483,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_1-roi_10-1.tiff,2.395,29.219,0.000817,69.983,3.857,67320,1.0,1.0,dox_sc,Dox-scramble,10,1,10
484,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_1-roi_11-1.tiff,3.557,40.538,0.000816,144.206,1.479,138720,1.017,0.983,dox_sc,Dox-scramble,10,1,11
485,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_1-roi_12-1.tiff,4.703,44.529,0.000765,209.417,0.938,201450,1.673,0.598,dox_sc,Dox-scramble,10,1,12
486,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_1-roi_2-1.tiff,2.345,49.847,0.000816,116.903,0.359,112455,1.021,0.979,dox_sc,Dox-scramble,10,1,2
487,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_1-roi_3-1.tiff,2.598,30.408,0.000816,78.995,3.521,75990,1.041,0.961,dox_sc,Dox-scramble,10,1,3
488,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_1-roi_4-1.tiff,2.7,45.069,0.000815,121.674,0.873,117045,1.082,0.925,dox_sc,Dox-scramble,10,1,4
489,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_1-roi_5-1.tiff,2.859,54.524,0.000815,155.87,-0.051,149940,1.1,0.909,dox_sc,Dox-scramble,10,1,5
490,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_1-roi_6-1.tiff,2.774,36.319,0.000806,100.732,2.187,96900,1.261,0.793,dox_sc,Dox-scramble,10,1,6
491,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_1-roi_7-1.tiff,2.439,49.239,0.000814,120.084,0.418,115515,1.109,0.902,dox_sc,Dox-scramble,10,1,7
492,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_1-roi_8-1.tiff,2.479,56.56,0.000811,140.23,-0.206,134895,1.178,0.849,dox_sc,Dox-scramble,10,1,8
493,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_1-roi_9-1.tiff,2.703,33.346,0.000816,90.129,2.798,86700,1.04,0.962,dox_sc,Dox-scramble,10,1,9
494,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_2-roi_0-1.tiff,2.81,98.585,0.000816,277.014,-1.783,266475,1.039,0.962,dox_sc,Dox-scramble,10,2,0
495,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_2-roi_1-1.tiff,5.832,68.364,0.000804,398.688,-0.904,383520,1.288,0.776,dox_sc,Dox-scramble,10,2,1
496,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_2-roi_10-1.tiff,3.03,85.991,0.000816,260.579,-1.526,250665,1.038,0.964,dox_sc,Dox-scramble,10,2,10
497,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_2-roi_11-1.tiff,2.92,87.512,0.000817,255.542,-1.564,245820,1.0,1.0,dox_sc,Dox-scramble,10,2,11
498,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_2-roi_12-1.tiff,2.607,107.063,0.000803,279.135,-1.895,268515,1.295,0.772,dox_sc,Dox-scramble,10,2,12
499,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_2-roi_13-1.tiff,5.073,87.944,0.000802,446.139,-1.574,429165,1.311,0.763,dox_sc,Dox-scramble,10,2,13
500,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_2-roi_14-1.tiff,3.615,85.807,0.000816,310.15,-1.521,298350,1.07,0.934,dox_sc,Dox-scramble,10,2,14
501,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_2-roi_15-1.tiff,3.368,55.958,0.000814,188.476,-0.162,181305,1.111,0.9,dox_sc,Dox-scramble,10,2,15
502,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_2-roi_16-1.tiff,2.545,64.271,0.000816,163.558,-0.695,157335,1.062,0.941,dox_sc,Dox-scramble,10,2,16
503,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_2-roi_17-1.tiff,4.254,45.367,0.000816,192.982,0.837,185640,1.065,0.939,dox_sc,Dox-scramble,10,2,17
504,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_2-roi_18-1.tiff,8.514,87.927,0.000816,748.601,-1.574,720120,1.011,0.989,dox_sc,Dox-scramble,10,2,18
505,SUM_(12)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_2-roi_19-1.tiff,6.299,64.476,0.000813,406.111,-0.707,390660,1.137,0.88,dox_sc,Dox-scramble,10,2,19
